"id","alias","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.address2","location.address3","location.city","location.zip_code","location.country","location.state","alias1","category"
"qjnpkS8yZO8xcyEIy5OU9A","girl-and-the-goat-chicago","Girl & the Goat","https://s3-media1.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg",FALSE,"https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",8010,4.5,"$$$","+13124926262","(312) 492-6262",3396.52504277281,41.884176,-87.6479440725005,"809 W Randolph St","","","Chicago","60607","US","IL","newamerican","American (New)"
"qjnpkS8yZO8xcyEIy5OU9A","girl-and-the-goat-chicago","Girl & the Goat","https://s3-media1.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg",FALSE,"https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",8010,4.5,"$$$","+13124926262","(312) 492-6262",3396.52504277281,41.884176,-87.6479440725005,"809 W Randolph St","","","Chicago","60607","US","IL","bakeries","Bakeries"
"qjnpkS8yZO8xcyEIy5OU9A","girl-and-the-goat-chicago","Girl & the Goat","https://s3-media1.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg",FALSE,"https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",8010,4.5,"$$$","+13124926262","(312) 492-6262",3396.52504277281,41.884176,-87.6479440725005,"809 W Randolph St","","","Chicago","60607","US","IL","coffee","Coffee & Tea"
"cKZNbMvoqJaUe7n6lf6i7w","wildberry-pancakes-and-cafe-chicago-2","Wildberry Pancakes and Cafe","https://s3-media2.fl.yelpcdn.com/bphoto/9ZnC8R_MgeIKWV-5IedwNg/o.jpg",FALSE,"https://www.yelp.com/biz/wildberry-pancakes-and-cafe-chicago-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6077,4.5,"$$","+13129389777","(312) 938-9777",5082.22175540303,41.884668,-87.62288,"130 E Randolph St","","","Chicago","60601","US","IL","pancakes","Pancakes"
"xoi7Cw7FoknAx5p880RtWQ","au-cheval-chicago","Au Cheval","https://s3-media4.fl.yelpcdn.com/bphoto/a0yhvSJX_6i28iwS9egDFg/o.jpg",FALSE,"https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6108,4.5,"$$","+13129294580","(312) 929-4580",3376.59842697386,41.88466,-87.647668,"800 W Randolph St","","","Chicago","60607","US","IL","bars","Bars"
"xoi7Cw7FoknAx5p880RtWQ","au-cheval-chicago","Au Cheval","https://s3-media4.fl.yelpcdn.com/bphoto/a0yhvSJX_6i28iwS9egDFg/o.jpg",FALSE,"https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6108,4.5,"$$","+13129294580","(312) 929-4580",3376.59842697386,41.88466,-87.647668,"800 W Randolph St","","","Chicago","60607","US","IL","burgers","Burgers"
"xoi7Cw7FoknAx5p880RtWQ","au-cheval-chicago","Au Cheval","https://s3-media4.fl.yelpcdn.com/bphoto/a0yhvSJX_6i28iwS9egDFg/o.jpg",FALSE,"https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6108,4.5,"$$","+13129294580","(312) 929-4580",3376.59842697386,41.88466,-87.647668,"800 W Randolph St","","","Chicago","60607","US","IL","tradamerican","American (Traditional)"
"boE4Ahsssqic7o5wQLI04w","the-purple-pig-chicago","The Purple Pig","https://s3-media2.fl.yelpcdn.com/bphoto/Qf9YAh6piSujT5F1T6PALg/o.jpg",FALSE,"https://www.yelp.com/biz/the-purple-pig-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6560,4,"$$","+13124641744","(312) 464-1744",4675.68617779188,41.89101954311,-87.6245617816512,"500 N Michigan Ave",NA,"","Chicago","60611","US","IL","tapasmallplates","Tapas/Small Plates"
"boE4Ahsssqic7o5wQLI04w","the-purple-pig-chicago","The Purple Pig","https://s3-media2.fl.yelpcdn.com/bphoto/Qf9YAh6piSujT5F1T6PALg/o.jpg",FALSE,"https://www.yelp.com/biz/the-purple-pig-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6560,4,"$$","+13124641744","(312) 464-1744",4675.68617779188,41.89101954311,-87.6245617816512,"500 N Michigan Ave",NA,"","Chicago","60611","US","IL","mediterranean","Mediterranean"
"boE4Ahsssqic7o5wQLI04w","the-purple-pig-chicago","The Purple Pig","https://s3-media2.fl.yelpcdn.com/bphoto/Qf9YAh6piSujT5F1T6PALg/o.jpg",FALSE,"https://www.yelp.com/biz/the-purple-pig-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6560,4,"$$","+13124641744","(312) 464-1744",4675.68617779188,41.89101954311,-87.6245617816512,"500 N Michigan Ave",NA,"","Chicago","60611","US","IL","breakfast_brunch","Breakfast & Brunch"
"AkcZ1fUyB3RocKLYGFu20Q","art-institute-of-chicago-chicago-3","Art Institute of Chicago","https://s3-media1.fl.yelpcdn.com/bphoto/ZNHEG_ArhwuaLeQYwAk0MQ/o.jpg",FALSE,"https://www.yelp.com/biz/art-institute-of-chicago-chicago-3?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1677,4.5,NA,"+13124433600","(312) 443-3600",5300.42559404252,41.8796,-87.623713,"111 S Michigan Ave","","","Chicago","60603","US","IL","artschools","Art Schools"
"AkcZ1fUyB3RocKLYGFu20Q","art-institute-of-chicago-chicago-3","Art Institute of Chicago","https://s3-media1.fl.yelpcdn.com/bphoto/ZNHEG_ArhwuaLeQYwAk0MQ/o.jpg",FALSE,"https://www.yelp.com/biz/art-institute-of-chicago-chicago-3?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1677,4.5,NA,"+13124433600","(312) 443-3600",5300.42559404252,41.8796,-87.623713,"111 S Michigan Ave","","","Chicago","60603","US","IL","landmarks","Landmarks & Historical Buildings"
"AkcZ1fUyB3RocKLYGFu20Q","art-institute-of-chicago-chicago-3","Art Institute of Chicago","https://s3-media1.fl.yelpcdn.com/bphoto/ZNHEG_ArhwuaLeQYwAk0MQ/o.jpg",FALSE,"https://www.yelp.com/biz/art-institute-of-chicago-chicago-3?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1677,4.5,NA,"+13124433600","(312) 443-3600",5300.42559404252,41.8796,-87.623713,"111 S Michigan Ave","","","Chicago","60603","US","IL","artmuseums","Art Museums"
"LPwAwxEjetjdNh7Uadro3g","smoque-bbq-chicago","Smoque BBQ","https://s3-media4.fl.yelpcdn.com/bphoto/T-oNCsrLiZc2lwrI3r9phQ/o.jpg",FALSE,"https://www.yelp.com/biz/smoque-bbq-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3963,4.5,"$$","+17735457427","(773) 545-7427",6499.89533628482,41.95021,-87.72795,"3800 N Pulaski Rd","Ste 2","","Chicago","60641","US","IL","bbq","Barbeque"
"8vFJH_paXsMocmEO_KAa3w","lou-malnatis-pizzeria-chicago","Lou Malnati's Pizzeria","https://s3-media1.fl.yelpcdn.com/bphoto/cv0OrGAkBn4qdFOm3zuFjQ/o.jpg",FALSE,"https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",5316,4,"$$","+13128289800","(312) 828-9800",4000.99905317202,41.890357,-87.633704,"439 N Wells St","","","Chicago","60654","US","IL","pizza","Pizza"
"8vFJH_paXsMocmEO_KAa3w","lou-malnatis-pizzeria-chicago","Lou Malnati's Pizzeria","https://s3-media1.fl.yelpcdn.com/bphoto/cv0OrGAkBn4qdFOm3zuFjQ/o.jpg",FALSE,"https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",5316,4,"$$","+13128289800","(312) 828-9800",4000.99905317202,41.890357,-87.633704,"439 N Wells St","","","Chicago","60654","US","IL","italian","Italian"
"8vFJH_paXsMocmEO_KAa3w","lou-malnatis-pizzeria-chicago","Lou Malnati's Pizzeria","https://s3-media1.fl.yelpcdn.com/bphoto/cv0OrGAkBn4qdFOm3zuFjQ/o.jpg",FALSE,"https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",5316,4,"$$","+13128289800","(312) 828-9800",4000.99905317202,41.890357,-87.633704,"439 N Wells St","","","Chicago","60654","US","IL","sandwiches","Sandwiches"
"pbEiXam9YJL3neCYHGwLUA","alinea-chicago","Alinea","https://s3-media2.fl.yelpcdn.com/bphoto/cj89YwaTL0Ma1Mx3xJk7Iw/o.jpg",FALSE,"https://www.yelp.com/biz/alinea-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1995,4.5,"$$$$","+13128670110","(312) 867-0110",2610.28948850443,41.9134194160823,-87.6482384681229,"1723 N Halsted St","","","Chicago","60614","US","IL","newamerican","American (New)"
"pbEiXam9YJL3neCYHGwLUA","alinea-chicago","Alinea","https://s3-media2.fl.yelpcdn.com/bphoto/cj89YwaTL0Ma1Mx3xJk7Iw/o.jpg",FALSE,"https://www.yelp.com/biz/alinea-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1995,4.5,"$$$$","+13128670110","(312) 867-0110",2610.28948850443,41.9134194160823,-87.6482384681229,"1723 N Halsted St","","","Chicago","60614","US","IL","modern_european","Modern European"
"pVPyt3TugMd8FW5LGznkQQ","kumas-corner-belmont-chicago","Kuma's Corner - Belmont","https://s3-media2.fl.yelpcdn.com/bphoto/tczjU01MzXiOMPKY1CEQ0Q/o.jpg",FALSE,"https://www.yelp.com/biz/kumas-corner-belmont-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",4976,4,"$$","+17736048769","(773) 604-8769",4258.44003613482,41.939640045166,-87.7004470825195,"2900 W Belmont Ave",NA,"","Chicago","60618","US","IL","pubs","Pubs"
"pVPyt3TugMd8FW5LGznkQQ","kumas-corner-belmont-chicago","Kuma's Corner - Belmont","https://s3-media2.fl.yelpcdn.com/bphoto/tczjU01MzXiOMPKY1CEQ0Q/o.jpg",FALSE,"https://www.yelp.com/biz/kumas-corner-belmont-chicago?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",4976,4,"$$","+17736048769","(773) 604-8769",4258.44003613482,41.939640045166,-87.7004470825195,"2900 W Belmont Ave",NA,"","Chicago","60618","US","IL","burgers","Burgers"
"-sdMTRmgExufOk6STZFi9w","little-goat-diner-chicago-4","Little Goat Diner","https://s3-media3.fl.yelpcdn.com/bphoto/FEdL5JcbVf5NFEB3s5S8Mg/o.jpg",FALSE,"https://www.yelp.com/biz/little-goat-diner-chicago-4?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",4191,4,"$$","+13128883455","(312) 888-3455",3332.44459483472,41.8846460590586,-87.6484126982138,"820 W Randolph St","","","Chicago","60607","US","IL","diners","Diners"
