"id","alias","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.address2","location.address3","location.city","location.zip_code","location.country","location.state","alias1","category"
"V8KXkj4sDhRlS5G6z8-79g","fukada-irvine","Fukada","https://s3-media1.fl.yelpcdn.com/bphoto/j1GhUVHaFSeHsqbFdhuCLQ/o.jpg",FALSE,"https://www.yelp.com/biz/fukada-irvine?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2434,4,"$$","+19493410111","(949) 341-0111",3221.80219261872,33.6441211395679,-117.743128531307,"8683 Irvine Center Dr","","","Irvine","92618","US","CA","japanese","Japanese"
"lFsfUffXcm5PJaDjF6O6OQ","house-of-shabu-shabu-irvine","House of Shabu Shabu","https://s3-media4.fl.yelpcdn.com/bphoto/kK_zbCfKiWaQedJJCRqvpw/o.jpg",FALSE,"https://www.yelp.com/biz/house-of-shabu-shabu-irvine?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2155,4,"$$","+19496549400","(949) 654-9400",2666.4831554702,33.6900662,-117.7707037,"5394 Walnut Ave","Ste A","","Irvine","92604","US","CA","japanese","Japanese"
"lFsfUffXcm5PJaDjF6O6OQ","house-of-shabu-shabu-irvine","House of Shabu Shabu","https://s3-media4.fl.yelpcdn.com/bphoto/kK_zbCfKiWaQedJJCRqvpw/o.jpg",FALSE,"https://www.yelp.com/biz/house-of-shabu-shabu-irvine?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2155,4,"$$","+19496549400","(949) 654-9400",2666.4831554702,33.6900662,-117.7707037,"5394 Walnut Ave","Ste A","","Irvine","92604","US","CA","hotpot","Hot Pot"
"O8-e3IkpbSYjwHyPKEiaGg","cucina-enoteca-irvine-irvine-2","CUCINA enoteca Irvine","https://s3-media3.fl.yelpcdn.com/bphoto/3mHb8SsDc6m3JcdHFeBpHg/o.jpg",FALSE,"https://www.yelp.com/biz/cucina-enoteca-irvine-irvine-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2050,4,"$$","+19498612222","(949) 861-2222",2393.87497421162,33.6517596900836,-117.746377664192,"532 Spectrum Center Dr","","","Irvine","92618","US","CA","italian","Italian"
"O8-e3IkpbSYjwHyPKEiaGg","cucina-enoteca-irvine-irvine-2","CUCINA enoteca Irvine","https://s3-media3.fl.yelpcdn.com/bphoto/3mHb8SsDc6m3JcdHFeBpHg/o.jpg",FALSE,"https://www.yelp.com/biz/cucina-enoteca-irvine-irvine-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2050,4,"$$","+19498612222","(949) 861-2222",2393.87497421162,33.6517596900836,-117.746377664192,"532 Spectrum Center Dr","","","Irvine","92618","US","CA","pizza","Pizza"
"O8-e3IkpbSYjwHyPKEiaGg","cucina-enoteca-irvine-irvine-2","CUCINA enoteca Irvine","https://s3-media3.fl.yelpcdn.com/bphoto/3mHb8SsDc6m3JcdHFeBpHg/o.jpg",FALSE,"https://www.yelp.com/biz/cucina-enoteca-irvine-irvine-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2050,4,"$$","+19498612222","(949) 861-2222",2393.87497421162,33.6517596900836,-117.746377664192,"532 Spectrum Center Dr","","","Irvine","92618","US","CA","wine_bars","Wine Bars"
"KPOi53eIYMjV80D6NJlozQ","bambu-irvine-4","BAMBU","https://s3-media1.fl.yelpcdn.com/bphoto/B5BxFF3da6IAVDpk0jH0ew/o.jpg",FALSE,"https://www.yelp.com/biz/bambu-irvine-4?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",970,4.5,"$","+19492321145","(949) 232-1145",2569.52542983982,33.6890193656519,-117.771570027414,"14775 Jeffrey Rd","Ste B","","Irvine","92618","US","CA","coffee","Coffee & Tea"
"KPOi53eIYMjV80D6NJlozQ","bambu-irvine-4","BAMBU","https://s3-media1.fl.yelpcdn.com/bphoto/B5BxFF3da6IAVDpk0jH0ew/o.jpg",FALSE,"https://www.yelp.com/biz/bambu-irvine-4?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",970,4.5,"$","+19492321145","(949) 232-1145",2569.52542983982,33.6890193656519,-117.771570027414,"14775 Jeffrey Rd","Ste B","","Irvine","92618","US","CA","juicebars","Juice Bars & Smoothies"
"KPOi53eIYMjV80D6NJlozQ","bambu-irvine-4","BAMBU","https://s3-media1.fl.yelpcdn.com/bphoto/B5BxFF3da6IAVDpk0jH0ew/o.jpg",FALSE,"https://www.yelp.com/biz/bambu-irvine-4?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",970,4.5,"$","+19492321145","(949) 232-1145",2569.52542983982,33.6890193656519,-117.771570027414,"14775 Jeffrey Rd","Ste B","","Irvine","92618","US","CA","bubbletea","Bubble Tea"
"xI37Huzt8hhTgTllYbQS_g","swich-bistro-irvine-5","S'wich Bistro","https://s3-media2.fl.yelpcdn.com/bphoto/JLsdaH1KCMb6km9yIlqBEQ/o.jpg",FALSE,"https://www.yelp.com/biz/swich-bistro-irvine-5?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",311,4.5,"$$","+19497530227","(949) 753-0227",1104.82227630408,33.65741,-117.76996,"16277 Laguna Canyon Rd","Unit B","","Irvine","92618","US","CA","breakfast_brunch","Breakfast & Brunch"
