"id","alias","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.address2","location.address3","location.city","location.zip_code","location.country","location.state","alias1","category"
"eGhOLzFFIhrvF6QjSSpJsg","phils-bbq-san-diego-2","Phil's BBQ","https://s3-media2.fl.yelpcdn.com/bphoto/gnn_uVDE447hgSHzYkiPDg/o.jpg",FALSE,"https://www.yelp.com/biz/phils-bbq-san-diego-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",13179,4.5,"$$","+16192266333","(619) 226-6333",7024.03770053508,32.7547792020658,-117.21598848605,"3750 Sports Arena Blvd","","","San Diego","92110","US","CA","bbq","Barbeque"
"eGhOLzFFIhrvF6QjSSpJsg","phils-bbq-san-diego-2","Phil's BBQ","https://s3-media2.fl.yelpcdn.com/bphoto/gnn_uVDE447hgSHzYkiPDg/o.jpg",FALSE,"https://www.yelp.com/biz/phils-bbq-san-diego-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",13179,4.5,"$$","+16192266333","(619) 226-6333",7024.03770053508,32.7547792020658,-117.21598848605,"3750 Sports Arena Blvd","","","San Diego","92110","US","CA","bars","Bars"
"eGhOLzFFIhrvF6QjSSpJsg","phils-bbq-san-diego-2","Phil's BBQ","https://s3-media2.fl.yelpcdn.com/bphoto/gnn_uVDE447hgSHzYkiPDg/o.jpg",FALSE,"https://www.yelp.com/biz/phils-bbq-san-diego-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",13179,4.5,"$$","+16192266333","(619) 226-6333",7024.03770053508,32.7547792020658,-117.21598848605,"3750 Sports Arena Blvd","","","San Diego","92110","US","CA","tradamerican","American (Traditional)"
"FfOjwHM-Oliao8-UABaazQ","snooze-san-diego-18","Snooze","https://s3-media4.fl.yelpcdn.com/bphoto/9T16GhR9NcuBd_M1KXzzFA/o.jpg",FALSE,"https://www.yelp.com/biz/snooze-san-diego-18?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6075,4.5,"$$","+16195003344","(619) 500-3344",4664.32423179258,32.749,-117.16078,"3940 5th Ave","","","San Diego","92103","US","CA","breakfast_brunch","Breakfast & Brunch"
"FfOjwHM-Oliao8-UABaazQ","snooze-san-diego-18","Snooze","https://s3-media4.fl.yelpcdn.com/bphoto/9T16GhR9NcuBd_M1KXzzFA/o.jpg",FALSE,"https://www.yelp.com/biz/snooze-san-diego-18?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6075,4.5,"$$","+16195003344","(619) 500-3344",4664.32423179258,32.749,-117.16078,"3940 5th Ave","","","San Diego","92103","US","CA","coffee","Coffee & Tea"
"FfOjwHM-Oliao8-UABaazQ","snooze-san-diego-18","Snooze","https://s3-media4.fl.yelpcdn.com/bphoto/9T16GhR9NcuBd_M1KXzzFA/o.jpg",FALSE,"https://www.yelp.com/biz/snooze-san-diego-18?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",6075,4.5,"$$","+16195003344","(619) 500-3344",4664.32423179258,32.749,-117.16078,"3940 5th Ave","","","San Diego","92103","US","CA","sandwiches","Sandwiches"
"gGOLNK6w3ym9uF-yKI5wPA","san-diego-zoo-san-diego","San Diego Zoo","https://s3-media2.fl.yelpcdn.com/bphoto/U7v6h-tB-SB1EaMBe69cnA/o.jpg",FALSE,"https://www.yelp.com/biz/san-diego-zoo-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3942,4.5,NA,"+16192311515","(619) 231-1515",6152.69397798455,32.735393,-117.149143,"2920 Zoo Dr","","","San Diego","92101","US","CA","zoos","Zoos"
"3S6VtYgcXL8lRic0iV5GYQ","sushi-ota-san-diego","Sushi Ota","https://s3-media2.fl.yelpcdn.com/bphoto/MtEcy_Dmb2hitJFjbAgoHw/o.jpg",FALSE,"https://www.yelp.com/biz/sushi-ota-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3440,4.5,"$$$","+18582705670","(858) 270-5670",6008.87543635854,32.8036636,-117.2171253,"4529 Mission Bay Dr","","","San Diego","92109","US","CA","sushi","Sushi Bars"
"3S6VtYgcXL8lRic0iV5GYQ","sushi-ota-san-diego","Sushi Ota","https://s3-media2.fl.yelpcdn.com/bphoto/MtEcy_Dmb2hitJFjbAgoHw/o.jpg",FALSE,"https://www.yelp.com/biz/sushi-ota-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3440,4.5,"$$$","+18582705670","(858) 270-5670",6008.87543635854,32.8036636,-117.2171253,"4529 Mission Bay Dr","","","San Diego","92109","US","CA","japanese","Japanese"
"rpz4p2RsFsok450butSHqA","hash-house-a-go-go-san-diego","Hash House A Go Go","https://s3-media2.fl.yelpcdn.com/bphoto/Cqlv_sl-tCp05VBNvJy3jw/o.jpg",FALSE,"https://www.yelp.com/biz/hash-house-a-go-go-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",7134,4,"$$","+16192984646","(619) 298-4646",5225.37409984737,32.743898,-117.16061,"3628 5th Ave","","","San Diego","92103","US","CA","breakfast_brunch","Breakfast & Brunch"
"rpz4p2RsFsok450butSHqA","hash-house-a-go-go-san-diego","Hash House A Go Go","https://s3-media2.fl.yelpcdn.com/bphoto/Cqlv_sl-tCp05VBNvJy3jw/o.jpg",FALSE,"https://www.yelp.com/biz/hash-house-a-go-go-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",7134,4,"$$","+16192984646","(619) 298-4646",5225.37409984737,32.743898,-117.16061,"3628 5th Ave","","","San Diego","92103","US","CA","newamerican","American (New)"
"rpz4p2RsFsok450butSHqA","hash-house-a-go-go-san-diego","Hash House A Go Go","https://s3-media2.fl.yelpcdn.com/bphoto/Cqlv_sl-tCp05VBNvJy3jw/o.jpg",FALSE,"https://www.yelp.com/biz/hash-house-a-go-go-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",7134,4,"$$","+16192984646","(619) 298-4646",5225.37409984737,32.743898,-117.16061,"3628 5th Ave","","","San Diego","92103","US","CA","salad","Salad"
"9M_FW_-Ipx93I36w-_ykBg","balboa-park-san-diego","Balboa Park","https://s3-media1.fl.yelpcdn.com/bphoto/ri6q1zruXD_qbLOxQM9DrA/o.jpg",FALSE,"https://www.yelp.com/biz/balboa-park-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1917,5,NA,"+16192390512","(619) 239-0512",6964.87212878158,32.7279416906502,-117.152823081877,"1549 El Prado","","","San Diego","92101","US","CA","parks","Parks"
"t4oCBN7Z9B7DtEtZihGCcg","extraordinary-desserts-san-diego-2","Extraordinary Desserts","https://s3-media2.fl.yelpcdn.com/bphoto/BkO_uoasaTbQ6r-KYA_OIQ/o.jpg",FALSE,"https://www.yelp.com/biz/extraordinary-desserts-san-diego-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",7040,4,"$$","+16192947001","(619) 294-7001",7893.81427494727,32.7202651175774,-117.165794932541,"1430 Union St",NA,"","San Diego","92101","US","CA","bakeries","Bakeries"
"t4oCBN7Z9B7DtEtZihGCcg","extraordinary-desserts-san-diego-2","Extraordinary Desserts","https://s3-media2.fl.yelpcdn.com/bphoto/BkO_uoasaTbQ6r-KYA_OIQ/o.jpg",FALSE,"https://www.yelp.com/biz/extraordinary-desserts-san-diego-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",7040,4,"$$","+16192947001","(619) 294-7001",7893.81427494727,32.7202651175774,-117.165794932541,"1430 Union St",NA,"","San Diego","92101","US","CA","cakeshop","Patisserie/Cake Shop"
"aY_z6z6at7wyoW7sFhf4bA","cucina-urbana-san-diego","CUCINA urbana","https://s3-media2.fl.yelpcdn.com/bphoto/v3r4uSP9xR8zF5Mx8hqThw/o.jpg",FALSE,"https://www.yelp.com/biz/cucina-urbana-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3709,4.5,"$$","+16192392222","(619) 239-2222",6614.93358278564,32.7312993826963,-117.160155773163,"505 Laurel St","","","San Diego","92101","US","CA","italian","Italian"
"aY_z6z6at7wyoW7sFhf4bA","cucina-urbana-san-diego","CUCINA urbana","https://s3-media2.fl.yelpcdn.com/bphoto/v3r4uSP9xR8zF5Mx8hqThw/o.jpg",FALSE,"https://www.yelp.com/biz/cucina-urbana-san-diego?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3709,4.5,"$$","+16192392222","(619) 239-2222",6614.93358278564,32.7312993826963,-117.160155773163,"505 Laurel St","","","San Diego","92101","US","CA","pizza","Pizza"
