"id","alias","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.address2","location.address3","location.city","location.zip_code","location.country","location.state","alias1","category"
"U-i6cq-yFRVJC4pIKSLX9Q","poor-calvins-atlanta-15","Poor Calvin's","https://s3-media3.fl.yelpcdn.com/bphoto/hd7Ith2Gm3QnrQqOzI_JvA/o.jpg",FALSE,"https://www.yelp.com/biz/poor-calvins-atlanta-15?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2596,4.5,"$$",14042544051,"(404) 254-4051",5038.78335216785,33.7684,-84.38226,"510 Piedmont Ave NE",NA,"","Atlanta",30308,"US","GA","asianfusion","Asian Fusion"
"U-i6cq-yFRVJC4pIKSLX9Q","poor-calvins-atlanta-15","Poor Calvin's","https://s3-media3.fl.yelpcdn.com/bphoto/hd7Ith2Gm3QnrQqOzI_JvA/o.jpg",FALSE,"https://www.yelp.com/biz/poor-calvins-atlanta-15?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2596,4.5,"$$",14042544051,"(404) 254-4051",5038.78335216785,33.7684,-84.38226,"510 Piedmont Ave NE",NA,"","Atlanta",30308,"US","GA","southern","Southern"
"U-i6cq-yFRVJC4pIKSLX9Q","poor-calvins-atlanta-15","Poor Calvin's","https://s3-media3.fl.yelpcdn.com/bphoto/hd7Ith2Gm3QnrQqOzI_JvA/o.jpg",FALSE,"https://www.yelp.com/biz/poor-calvins-atlanta-15?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2596,4.5,"$$",14042544051,"(404) 254-4051",5038.78335216785,33.7684,-84.38226,"510 Piedmont Ave NE",NA,"","Atlanta",30308,"US","GA","comfortfood","Comfort Food"
"BSUDAiXd50PAkfFAztVpDw","aviva-by-kameel-atlanta","Aviva by Kameel","https://s3-media1.fl.yelpcdn.com/bphoto/scfGarjFKbnfp7QdtyPv4w/o.jpg",FALSE,"https://www.yelp.com/biz/aviva-by-kameel-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1257,5,"$$",14046983600,"(404) 698-3600",5977.80696424914,33.7605381455292,-84.3865554648041,"225 Peachtree St NE","Ste B-30","Peachtree Center Mall","Atlanta",30303,"US","GA","mediterranean","Mediterranean"
"BSUDAiXd50PAkfFAztVpDw","aviva-by-kameel-atlanta","Aviva by Kameel","https://s3-media1.fl.yelpcdn.com/bphoto/scfGarjFKbnfp7QdtyPv4w/o.jpg",FALSE,"https://www.yelp.com/biz/aviva-by-kameel-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1257,5,"$$",14046983600,"(404) 698-3600",5977.80696424914,33.7605381455292,-84.3865554648041,"225 Peachtree St NE","Ste B-30","Peachtree Center Mall","Atlanta",30303,"US","GA","juicebars","Juice Bars & Smoothies"
"BSUDAiXd50PAkfFAztVpDw","aviva-by-kameel-atlanta","Aviva by Kameel","https://s3-media1.fl.yelpcdn.com/bphoto/scfGarjFKbnfp7QdtyPv4w/o.jpg",FALSE,"https://www.yelp.com/biz/aviva-by-kameel-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1257,5,"$$",14046983600,"(404) 698-3600",5977.80696424914,33.7605381455292,-84.3865554648041,"225 Peachtree St NE","Ste B-30","Peachtree Center Mall","Atlanta",30303,"US","GA","mideastern","Middle Eastern"
"u-4wti774tFcYRLuQrnHEg","fox-bros-bar-b-q-atlanta","Fox Bros. Bar-B-Q","https://s3-media1.fl.yelpcdn.com/bphoto/HCc4JWRO2E6jm3jSdijL0Q/o.jpg",FALSE,"https://www.yelp.com/biz/fox-bros-bar-b-q-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3280,4.5,"$$",14045774030,"(404) 577-4030",6282.52560439916,33.7610514725111,-84.3475019931793,"1238 Dekalb Ave Ne","",NA,"Atlanta",30307,"US","GA","bbq","Barbeque"
"u-4wti774tFcYRLuQrnHEg","fox-bros-bar-b-q-atlanta","Fox Bros. Bar-B-Q","https://s3-media1.fl.yelpcdn.com/bphoto/HCc4JWRO2E6jm3jSdijL0Q/o.jpg",FALSE,"https://www.yelp.com/biz/fox-bros-bar-b-q-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3280,4.5,"$$",14045774030,"(404) 577-4030",6282.52560439916,33.7610514725111,-84.3475019931793,"1238 Dekalb Ave Ne","",NA,"Atlanta",30307,"US","GA","tradamerican","American (Traditional)"
"eG-UO83g_5zDk70FIJbm2w","south-city-kitchen-midtown-atlanta-2","South City Kitchen Midtown","https://s3-media1.fl.yelpcdn.com/bphoto/8UBGfPAZhdRF-E2b2FP4_w/o.jpg",FALSE,"https://www.yelp.com/biz/south-city-kitchen-midtown-atlanta-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2265,4.5,"$$",14048737358,"(404) 873-7358",3191.28554482018,33.786,-84.3845599,"1144 Crescent Ave NE","","","Atlanta",30309,"US","GA","southern","Southern"
"eG-UO83g_5zDk70FIJbm2w","south-city-kitchen-midtown-atlanta-2","South City Kitchen Midtown","https://s3-media1.fl.yelpcdn.com/bphoto/8UBGfPAZhdRF-E2b2FP4_w/o.jpg",FALSE,"https://www.yelp.com/biz/south-city-kitchen-midtown-atlanta-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2265,4.5,"$$",14048737358,"(404) 873-7358",3191.28554482018,33.786,-84.3845599,"1144 Crescent Ave NE","","","Atlanta",30309,"US","GA","breakfast_brunch","Breakfast & Brunch"
