"id","alias.x","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.address2","location.address3","location.city","location.zip_code","location.country","location.state","alias1","category","alias.y","parent_aliases"
"BSUDAiXd50PAkfFAztVpDw","aviva-by-kameel-atlanta","Aviva by Kameel","https://s3-media1.fl.yelpcdn.com/bphoto/scfGarjFKbnfp7QdtyPv4w/o.jpg",FALSE,"https://www.yelp.com/biz/aviva-by-kameel-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1257,5,"$$",14046983600,"(404) 698-3600",5977.80696424914,33.7605381455292,-84.3865554648041,"225 Peachtree St NE","Ste B-30","Peachtree Center Mall","Atlanta",30303,"US","GA","mediterranean","Mediterranean","mediterranean","restaurants"
"u-4wti774tFcYRLuQrnHEg","fox-bros-bar-b-q-atlanta","Fox Bros. Bar-B-Q","https://s3-media1.fl.yelpcdn.com/bphoto/HCc4JWRO2E6jm3jSdijL0Q/o.jpg",FALSE,"https://www.yelp.com/biz/fox-bros-bar-b-q-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",3280,4.5,"$$",14045774030,"(404) 577-4030",6282.52560439916,33.7610514725111,-84.3475019931793,"1238 Dekalb Ave Ne","",NA,"Atlanta",30307,"US","GA","tradamerican","American (Traditional)","tradamerican","restaurants"
"GJxFtnTqTiokFedNrW9iDQ","atlanta-breakfast-club-atlanta","Atlanta Breakfast Club","https://s3-media4.fl.yelpcdn.com/bphoto/NkODweIlbl2cgh3uTsF1Jw/o.jpg",FALSE,"https://www.yelp.com/biz/atlanta-breakfast-club-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2127,4.5,"$$",14704283825,"(470) 428-3825",5762.71876929887,33.7646651,-84.3954503,"249 Ivan Allen Jr Blvd","","","Atlanta",30313,"US","GA","tradamerican","American (Traditional)","tradamerican","restaurants"
"eqFA5BJ5NDjZ4TaUXJazfg","canoe-atlanta-2","Canoe","https://s3-media2.fl.yelpcdn.com/bphoto/wwX71m9rU9kFyCJSXoyFPA/o.jpg",FALSE,"https://www.yelp.com/biz/canoe-atlanta-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1584,4.5,"$$$",17704322663,"(770) 432-2663",9167.34326693552,33.859863,-84.455464,"4199 Paces Ferry Rd SE","","","Atlanta",30339,"US","GA","newamerican","American (New)","newamerican","restaurants"
"Qd6r9d5EcIRY3bWRW7-rBg","heirloom-market-bbq-atlanta","Heirloom Market BBQ","https://s3-media1.fl.yelpcdn.com/bphoto/RTV93fDqdox5j2PveELMNw/o.jpg",FALSE,"https://www.yelp.com/biz/heirloom-market-bbq-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1428,4.5,"$$",17708501008,"(770) 850-1008",11678.0100378228,33.8986473470416,-84.4471785276031,"2243 Akers Mill Rd SE","Ste 110","","Atlanta",30339,"US","GA","korean","Korean","korean","restaurants"
"trfQCzNmAgfQLSFUb_6vbA","buttermilk-kitchen-atlanta","Buttermilk Kitchen","https://s3-media3.fl.yelpcdn.com/bphoto/_ysOu9z4jdzcs890TErAOA/o.jpg",FALSE,"https://www.yelp.com/biz/buttermilk-kitchen-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1288,4.5,"$$",16787323274,"(678) 732-3274",6330.82833660227,33.86986,-84.38056,"4225 Roswell Rd NE",NA,"","Atlanta",30342,"US","GA","newamerican","American (New)","newamerican","restaurants"
"WkN8Z2Q8gbhjjkCt8cDVxg","two-urban-licks-atlanta","Two Urban Licks","https://s3-media1.fl.yelpcdn.com/bphoto/ijccHnF0_pDUPORpt48tYQ/o.jpg",FALSE,"https://www.yelp.com/biz/two-urban-licks-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",2322,4,"$$",14045224622,"(404) 522-4622",5106.04665560519,33.7684555661887,-84.3612738994751,"820 Ralph McGill Blvd NE",NA,"","Atlanta",30306,"US","GA","newamerican","American (New)","newamerican","restaurants"
"1q3u0GmFKRKPV_ikCiCbUw","gunshow-atlanta-2","Gunshow","https://s3-media2.fl.yelpcdn.com/bphoto/Zd3X24HymZ3cUWZpvsowBQ/o.jpg",FALSE,"https://www.yelp.com/biz/gunshow-atlanta-2?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1054,4.5,"$$$",14043801886,"(404) 380-1886",8190.69401065267,33.7407023786913,-84.3580284818322,"924 Garrett St","Ste C","","Atlanta",30316,"US","GA","newamerican","American (New)","newamerican","restaurants"
"Z2qMwUhnGt_2pA9uQbS7Uw","the-vortex-bar-and-grill-midtown-atlanta","The Vortex Bar And Grill - Midtown","https://s3-media2.fl.yelpcdn.com/bphoto/PBseQS1Qlt-zUuoRkGptfg/o.jpg",FALSE,"https://www.yelp.com/biz/the-vortex-bar-and-grill-midtown-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1549,4,"$$",14048751667,"(404) 875-1667",3927.8216909597,33.779051,-84.384438,"878 Peachtree St NE","","","Atlanta",30309,"US","GA","tradamerican","American (Traditional)","tradamerican","restaurants"
"1i63faxXI1TQ7pNlLp3IPQ","cypress-street-pint-and-plate-atlanta","Cypress Street Pint & Plate","https://s3-media2.fl.yelpcdn.com/bphoto/yVVxF12zVDE1YDAmq9cydA/o.jpg",FALSE,"https://www.yelp.com/biz/cypress-street-pint-and-plate-atlanta?adjust_creative=seK3nYThXCT622oUlqHkLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=seK3nYThXCT622oUlqHkLQ",1158,4,"$$",14048159243,"(404) 815-9243",4148.13391497685,33.7773543806111,-84.3860052977285,"817 W Peachtree St NW","","","Atlanta",30308,"US","GA","newamerican","American (New)","newamerican","restaurants"
