"category","texts"
"Mediterranean","Ya'll. The stories are true. This place cannot be missed. These folks have continued to receive ""Best of..."" awards for good reason. The food here is...Aviva is perhaps the best kept secret in downtown for delicious Mediterranean cuisine. Tucked away in the Peachtree center mall, the quality of food at this...What a magical and inspirational experience!  I'm staying at the adjoining Hyatt Regency and wandered into the peach tree center food court for lunch. Who..."
"American (Traditional)","If you live in Atlanta and haven't been here you haven't been living. 

If your visiting this place is a must! 

Not only is it good but the consistency...Went back for more BBQ. This time I had the combo plane with the wings, ribs, and brisket with Mac and cheese and tater tots as my sides! Man, those wings...Really mixed feelings on this one... 

I had some of the driest brisket I've had in my life here. My southern friend was like ""Atlanta isn't known for its..."
"American (Traditional)","Quick Fast and Tasty ! We hopped in on a Saturday morning literally before the crowd. Arriving at 9:30 and got seated quickly. Moments later there was a...One of the best brunch places I have been to. Period. This place is a modern diner that serves one of the best chicken and waffles I have had in my life....I don't mind paying for great food but, I have to say for the price and the hype it is mediocre at best. The things they serve there are basic, chicken and..."
"American (New)","So my girlfriend and I took a long weekend to Atlanta for a vacation. We always look up and go out to the best restaurants in new cities, and this place was...honestly this was one of the worst places i could have taken my mother for on her birthday.first of all,when we were waiting to get seated with our...We dined here for a family birthday a few weeks ago.  I had made reservations well in advance, as I believe they tend to book up rapidly here.

Our schedule..."
"Korean","Hands down this is a gem of Atlanta!! They are located in what looks like a gas station with little parking. I remember when they first opened and it was a...Heirloom Market BBQ is American style barbecue with Korean influences. They are a very popular destination for foodies and is one of the better options in...If you're an avid connoisseur of meats smothered in smoke for extended periods of time, you must visit this establishment. (Said differently) If you love..."
"American (New)","I absolutely LOVED this place.
Went in on a Sunday at around 11am. First tip: dont come here hungry. Expect a wait.
We signed up and they said it would be...Fried chicken and waffles!! I've been on a kick lately as I've recently discovered what all the hype is around fried chicken and waffles lol. Buttermilk...Server, Evan, was nice & nostalgic with proper menu knowledge. 
Grapefruit juice for breakfast is one of my all time favorites. 
They are closed on Mondays..."
"American (New)","We brought out 3 year olds and it was fine. There son kids menu so we just shared with them. The scallop dish was really good ! I was surprised i enjoyed...I got one word for this place ...... BRISKET 

Some of the best I have has here in Atlanta. You also can't go wrong with the chicken. Both are cooked...This is by far my favorite restaurant in Atlanta. 

It's so good that I was reluctant<U+200B> to write a review because I don't want other people to know about..."
"American (New)","Such a unique experience.  One of the best restaurants in Atlanta.

The chefs are great at explaining their dishes and answering any questions you...The food is as good as described.

I went there for an anniversary dinner, and wasn't disappointed. They had a variety of tasty options. The cocktails were...The food was amazing, truly a delish experience. 

But what a shock it was to get the bill! Three of us visited Gunshow in October 2018 for my friend's..."
"American (Traditional)","This was my very first time at The Vortex.  I was surprisingly impressed by the food.  I had the KA'MAN WA'NA LEI'YA. It has a scoop of chipotle cream...Nothing special - Food is ok and hostess needs a serious attitude adjustment. 

The creative names they give their burgers do not make up for the overcooked...These are the best burgers I have ever had. Now, I know what you're thinking--that's a hell of a bold statement, but hear me out.

Since high school, I had..."
"American (New)","As a GT alum, this place will always hold a special place in my heart. I truly believe that Cypress does the best pub food in Atlanta as well. There are so...Cypress! Alright people, I'm back with another burger review. And today, my adventures of Atlanta brought me to this amazing restaurant in the heart of...This is going to be a shorter review than normal, but that's because I don't have much to describe? This place was a very pleasant surprise. I got invited..."
